======================================================================
  QuantHive — Multi-Agent PPO Training
  Episodes: 8000  |  Curriculum: 4 phases
  Device: cuda  |  Seed: 42
======================================================================
/kaggle/working/QuantHive/training/ppo_trainer.py:171: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  mb_cont = torch.FloatTensor(
Ep   820 [hard        ] [risk_manager_0      ] | DD=71.31% | Ret=-71.30% | Viol=16.60% | Fails=274 | 3.3s
Ep   830 [hard        ] [risk_manager_0      ] | DD=93.23% | Ret=-93.21% | Viol=43.12% | Fails=78 | 0.7s
Ep   840 [hard        ] [risk_manager_0      ] | DD=82.55% | Ret=-82.14% | Viol=23.00% | Fails=230 | 3.3s
Ep   850 [hard        ] [portfolio_manager_0 ] | DD=73.97% | Ret=-73.96% | Viol=17.60% | Fails=86 | 3.0s
Ep   860 [hard        ] [portfolio_manager_0 ] | DD=2.55% | Ret=-2.06% | Viol=23.00% | Fails=351 | 3.0s
Ep   870 [hard        ] [portfolio_manager_0 ] | DD=61.59% | Ret=-61.41% | Viol=23.00% | Fails=88 | 3.0s
Ep   880 [hard        ] [portfolio_manager_0 ] | DD=76.69% | Ret=-76.49% | Viol=19.20% | Fails=179 | 3.3s
Ep   890 [hard        ] [portfolio_manager_0 ] | DD=68.26% | Ret=-67.77% | Viol=17.60% | Fails=76 | 3.4s
Ep   900 [hard        ] [trader_0            ] | DD=90.52% | Ret=-90.44% | Viol=20.71% | Fails=178 | 2.5s
Ep   910 [hard        ] [trader_0            ] | DD=84.31% | Ret=-84.24% | Viol=15.00% | Fails=257 | 3.2s
Ep   920 [hard        ] [trader_0            ] | DD=83.60% | Ret=-83.12% | Viol=10.20% | Fails=223 | 3.3s
Ep   930 [hard        ] [trader_0            ] | DD=74.55% | Ret=-74.43% | Viol=17.40% | Fails=159 | 3.5s
Ep   940 [hard        ] [trader_0            ] | DD=87.34% | Ret=-87.12% | Viol=27.00% | Fails=238 | 3.2s
Ep   950 [hard        ] [risk_manager_0      ] | DD=77.19% | Ret=-76.01% | Viol=20.60% | Fails=173 | 3.2s
Ep   960 [hard        ] [risk_manager_0      ] | DD=66.96% | Ret=-66.44% | Viol=25.40% | Fails=17 | 3.2s
Ep   970 [hard        ] [risk_manager_0      ] | DD=91.34% | Ret=-91.17% | Viol=25.48% | Fails=124 | 2.2s
Ep   980 [hard        ] [risk_manager_0      ] | DD=93.92% | Ret=-93.89% | Viol=23.58% | Fails=127 | 1.4s
Ep   990 [hard        ] [risk_manager_0      ] | DD=94.25% | Ret=-94.24% | Viol=22.63% | Fails=248 | 2.2s
Ep  1000 [hard        ] [portfolio_manager_0 ] | DD=51.19% | Ret=-51.13% | Viol=18.80% | Fails=242 | 3.3s
Ep  1010 [hard        ] [portfolio_manager_0 ] | DD=63.44% | Ret=-62.98% | Viol=23.80% | Fails=502 | 3.4s
Ep  1020 [hard        ] [portfolio_manager_0 ] | DD=65.28% | Ret=-65.10% | Viol=25.40% | Fails=753 | 3.4s
Ep  1030 [hard        ] [portfolio_manager_0 ] | DD=90.44% | Ret=-90.43% | Viol=20.45% | Fails=322 | 2.4s
Ep  1040 [hard        ] [portfolio_manager_0 ] | DD=73.73% | Ret=-73.34% | Viol=20.80% | Fails=120 | 3.1s
Ep  1050 [hard        ] [trader_0            ] | DD=30.21% | Ret=-29.81% | Viol=23.00% | Fails=289 | 3.2s
Ep  1060 [hard        ] [trader_0            ] | DD=45.17% | Ret=-44.22% | Viol=23.20% | Fails=188 | 3.1s
Ep  1070 [hard        ] [trader_0            ] | DD=40.14% | Ret=-39.47% | Viol=15.00% | Fails=406 | 3.1s
Ep  1080 [hard        ] [trader_0            ] | DD=86.48% | Ret=-86.44% | Viol=30.00% | Fails=523 | 3.0s
Ep  1090 [hard        ] [trader_0            ] | DD=66.31% | Ret=-66.27% | Viol=27.20% | Fails=344 | 3.1s
Ep  1100 [hard        ] [risk_manager_0      ] | DD=88.67% | Ret=-88.52% | Viol=33.80% | Fails=619 | 3.2s
Ep  1110 [hard        ] [risk_manager_0      ] | DD=89.63% | Ret=-89.61% | Viol=27.20% | Fails=754 | 3.1s
Ep  1120 [hard        ] [risk_manager_0      ] | DD=73.55% | Ret=-73.53% | Viol=32.80% | Fails=310 | 3.4s
Ep  1130 [hard        ] [risk_manager_0      ] | DD=84.03% | Ret=-84.03% | Viol=28.40% | Fails=599 | 3.5s
Ep  1140 [hard        ] [risk_manager_0      ] | DD=75.75% | Ret=-75.33% | Viol=51.80% | Fails=764 | 3.6s
Ep  1150 [hard        ] [portfolio_manager_0 ] | DD=98.69% | Ret=-98.69% | Viol=29.08% | Fails=170 | 1.8s
Ep  1160 [hard        ] [portfolio_manager_0 ] | DD=77.30% | Ret=-77.26% | Viol=50.40% | Fails=627 | 3.5s
Ep  1170 [hard        ] [portfolio_manager_0 ] | DD=41.24% | Ret=-40.86% | Viol=37.20% | Fails=574 | 3.6s
Ep  1180 [hard        ] [portfolio_manager_0 ] | DD=50.35% | Ret=-50.21% | Viol=37.40% | Fails=362 | 3.3s
Ep  1190 [hard        ] [portfolio_manager_0 ] | DD=91.45% | Ret=-90.99% | Viol=38.33% | Fails=179 | 1.1s
Ep  1200 [hard        ] [trader_0            ] | DD=66.88% | Ret=-66.79% | Viol=31.80% | Fails=668 | 3.6s
Ep  1210 [hard        ] [trader_0            ] | DD=90.79% | Ret=-90.76% | Viol=59.88% | Fails=134 | 1.1s
Ep  1220 [hard        ] [trader_0            ] | DD=92.28% | Ret=-92.27% | Viol=50.91% | Fails=102 | 0.7s
Ep  1230 [hard        ] [trader_0            ] | DD=32.32% | Ret=-31.90% | Viol=31.00% | Fails=619 | 3.5s
Ep  1240 [hard        ] [trader_0            ] | DD=60.78% | Ret=-60.76% | Viol=44.00% | Fails=637 | 3.2s
Ep  1250 [hard        ] [risk_manager_0      ] | DD=90.00% | Ret=-90.00% | Viol=37.14% | Fails=382 | 2.8s
Ep  1260 [hard        ] [risk_manager_0      ] | DD=90.50% | Ret=-90.48% | Viol=46.28% | Fails=140 | 2.0s
Ep  1270 [hard        ] [risk_manager_0      ] | DD=44.85% | Ret=-44.74% | Viol=36.60% | Fails=66 | 3.5s
Ep  1280 [hard        ] [risk_manager_0      ] | DD=38.70% | Ret=-37.05% | Viol=66.00% | Fails=532 | 3.2s
Ep  1290 [hard        ] [risk_manager_0      ] | DD=52.47% | Ret=-52.42% | Viol=35.60% | Fails=874 | 3.3s
Ep  1300 [hard        ] [portfolio_manager_0 ] | DD=92.94% | Ret=-92.85% | Viol=60.00% | Fails=258 | 1.2s
Ep  1310 [hard        ] [portfolio_manager_0 ] | DD=61.97% | Ret=-61.38% | Viol=45.40% | Fails=820 | 3.3s
Ep  1320 [hard        ] [portfolio_manager_0 ] | DD=87.82% | Ret=-87.67% | Viol=46.60% | Fails=659 | 3.2s
Ep  1330 [hard        ] [portfolio_manager_0 ] | DD=44.32% | Ret=-44.31% | Viol=43.20% | Fails=698 | 3.2s
Ep  1340 [hard        ] [portfolio_manager_0 ] | DD=90.44% | Ret=-90.44% | Viol=60.92% | Fails=361 | 2.1s
Ep  1350 [hard        ] [trader_0            ] | DD=84.84% | Ret=-84.65% | Viol=45.40% | Fails=773 | 3.4s
Ep  1360 [hard        ] [trader_0            ] | DD=97.68% | Ret=-97.62% | Viol=49.55% | Fails=789 | 2.8s
Ep  1370 [hard        ] [trader_0            ] | DD=68.47% | Ret=-68.28% | Viol=37.20% | Fails=839 | 3.2s
Ep  1380 [hard        ] [trader_0            ] | DD=45.59% | Ret=-44.88% | Viol=67.60% | Fails=476 | 3.3s
Ep  1390 [hard        ] [trader_0            ] | DD=30.18% | Ret=-30.16% | Viol=68.00% | Fails=112 | 3.3s
Ep  1400 [hard        ] [risk_manager_0      ] | DD=97.11% | Ret=-97.10% | Viol=61.90% | Fails=299 | 1.4s
Ep  1410 [hard        ] [risk_manager_0      ] | DD=91.12% | Ret=-91.12% | Viol=47.62% | Fails=226 | 1.5s
Ep  1420 [hard        ] [risk_manager_0      ] | DD=54.98% | Ret=-54.62% | Viol=38.40% | Fails=292 | 3.2s
Ep  1430 [hard        ] [risk_manager_0      ] | DD=0.21% | Ret=-0.08% | Viol=69.60% | Fails=514 | 3.1s
Ep  1440 [hard        ] [risk_manager_0      ] | DD=90.21% | Ret=-90.17% | Viol=54.78% | Fails=113 | 1.5s
Ep  1450 [hard        ] [portfolio_manager_0 ] | DD=81.79% | Ret=-81.70% | Viol=44.80% | Fails=473 | 3.2s
